;No.overall;No. inseason;Title;Directed by;Written by;Original air date;Prod.code;U.S. viewers(millions)
0;47;1;"""The Calm""";Glen Winter;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Jake Coburn;October 8, 2014;3J5151;2.83[55]
1;48;2;"""Sara""";Wendey Stanzler;Jake Coburn & Keto Shimizu;October 15, 2014;3J5152;2.32[56]
2;49;3;"""Corto Maltese""";Stephen Surjik;Erik Oleson & Beth Schwartz;October 22, 2014;3J5153;2.55[57]
3;50;4;"""The Magician""";John Behring;Marc Guggenheim & Wendy Mericle;October 29, 2014;3J5154;2.49[58]
4;51;5;"""The Secret Origin of Felicity Smoak""";Michael Schultz;Ben Sokolowski & Brian Ford Sullivan;November 5, 2014;3J5155;2.73[59]
5;52;6;"""Guilty""";Peter Leto;Erik Oleson & Keto Shimizu;November 12, 2014;3J5156;2.60[60]
6;53;7;"""Draw Back Your Bow""";Rob Hardy;Wendy Mericle & Beth Schwartz;November 19, 2014;3J5157;2.64[61]
7;54;8;"""The Brave and the Bold""";Jesse Warn;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Grainne Godfree;December 3, 2014;3J5158;3.92[62]
8;55;9;"""The Climb""";Thor Freudenthal;Jake Coburn & Keto Shimizu;December 10, 2014;3J5159;3.06[63]
9;56;10;"""Left Behind""";Glen Winter;Marc Guggenheim & Erik Oleson;January 21, 2015;3J5160;3.06[64]
10;57;11;"""Midnight City""";Nick Copus;Wendy Mericle & Ben Sokolowski;January 28, 2015;3J5161;2.91[65]
11;58;12;"""Uprising""";Jesse Warn;Beth Schwartz & Brian Ford Sullivan;February 4, 2015;3J5162;2.94[66]
12;59;13;"""Canaries""";Michael Schultz;Jake Coburn & Emilio Ortega Aldrich;February 11, 2015;3J5163;2.67[67]
13;60;14;"""The Return""";Dermott Downs;Marc Guggenheim & Erik Oleson;February 18, 2015;3J5164;2.91[68]
14;61;15;"""Nanda Parbat""";Gregory Smith;Story by : Wendy Mericle & Ben SokolowskiTeleplay by : Erik Oleson & Ben Sokolowski;February 25, 2015;3J5165;3.07[69]
15;62;16;"""The Offer""";Dermott Downs;Beth Schwartz & Brian Ford Sullivan;March 18, 2015;3J5166;2.56[70]
16;63;17;"""Suicidal Tendencies""";Jesse Warn;Keto Shimizu;March 25, 2015;3J5167;2.86[71]
17;64;18;"""Public Enemy""";Dwight Little;Marc Guggenheim & Wendy Mericle;April 1, 2015;3J5168;2.48[72]
18;65;19;"""Broken Arrow""";Doug Aarniokoski;Story by : Jake CoburnTeleplay by : Ben Sokolowski & Brian Ford Sullivan;April 15, 2015;3J5169;2.47[73]
19;66;20;"""The Fallen""";Antonio Negret;Wendy Mericle & Oscar Balderrama;April 22, 2015;3J5170;2.72[74]
20;67;21;"""Al Sah-him""";Thor Freudenthal;Story by : Beth SchwartzTeleplay by : Brian Ford Sullivan & Emilio Ortega Aldrich;April 29, 2015;3J5171;2.39[75]
21;68;22;"""This Is Your Sword""";Wendey Stanzler;Story by : Erik OlesonTeleplay by : Ben Sokolowski & Brian Ford Sullivan;May 6, 2015;3J5172;2.54[76]
22;69;23;"""My Name Is Oliver Queen""";John Behring;Story by : Greg Berlanti & Andrew KreisbergTeleplay by : Marc Guggenheim & Jake Coburn;May 13, 2015;3J5173;2.83[77]
0;70;1;"""Green Arrow""";Thor Freudenthal;Story by : Greg Berlanti & Beth SchwartzTeleplay by : Marc Guggenheim & Wendy Mericle;October 7, 2015;3J5801;2.67[78]
1;71;2;"""The Candidate""";John Behring;Marc Guggenheim & Keto Shimizu;October 14, 2015;3J5802;2.50[79]
2;72;3;"""Restoration""";Wendey Stanzler;Wendy Mericle & Speed Weed;October 21, 2015;3J5803;2.40[80]
3;73;4;"""Beyond Redemption""";Lexi Alexander;Beth Schwartz & Ben Sokolowski;October 28, 2015;3J5805;2.64[81]
4;74;5;"""Haunted""";John Badham;Brian Ford Sullivan & Oscar Balderrama;November 4, 2015;3J5804[82];2.60[83]
5;75;6;"""Lost Souls""";Antonio Negret;Beth Schwartz & Emilio Ortega Aldrich;November 11, 2015;3J5806;2.30[84]
6;76;7;"""Brotherhood""";James Bamford;Speed Weed & Keto Shimizu;November 18, 2015;3J5807;2.69[85]
7;77;8;"""Legends of Yesterday""";Thor Freudenthal;Story by : Greg Berlanti & Marc GuggenheimTeleplay by : Brian Ford Sullivan & Marc Guggenheim;December 2, 2015;3J5808;3.66[86]
8;78;9;"""Dark Waters""";John Behring;Wendy Mericle & Ben Sokolowski;December 9, 2015;3J5809;2.82[87]
9;79;10;"""Blood Debts""";Jesse Warn;Oscar Balderrama & Sarah Tarkoff;January 20, 2016;3J5810;2.83[88]
