;Directed_by;reviews;Cluster 0;Cluster 1;Cluster 2;viewers(millions);IMDB rating
68;John Behring;3479;0.4310076534748077;0.5657708644866943;0.0;2.5;8.0
69;Wendey Stanzler;3355;0.2127801179885864;0.7823536992073059;0.0;2.4;8.0
70;Lexi Alexander;3289;0.0103611852973699;0.0582288205623626;0.931410014629364;2.64;8.2
71;John Badham;4401;0.9912124276161194;0.0;0.0;2.6;8.8
72;Antonio Negret;3295;0.0843950062990188;0.0199506245553493;0.8956543207168579;2.3;7.9
73;James Bamford;3081;0.5256268978118896;0.4712459444999695;0.0;2.69;8.0
74;Thor Freudenthal;4432;0.0703807324171066;0.2801937162876129;0.6494255661964417;3.66;9.0
75;John Behring;3829;0.6049851179122925;0.3524767458438873;0.0425381362438201;2.82;8.8
76;Jesse Warn;3078;0.0512369759380817;0.9403502345085144;0.0;2.83;7.9
77;Charlotte Brandström;2952;0.7322096824645996;0.1325343251228332;0.1352559775114059;2.78;7.8
78;Kevin Fair;2967;0.69408118724823;0.1726243197917938;0.1332945376634597;2.48;8.1
79;Gordon Verheul;3130;0.4338331818580627;0.470239907503128;0.0959269255399704;2.44;8.3
80;James Bamford;2885;0.9877163171768188;0.0;0.0;2.44;7.7
81;Gregory Smith;3226;0.1279691904783249;0.8667269945144653;0.0;2.7;8.1
82;John Showalter;3896;0.2726016342639923;0.7247828841209412;0.0;2.09;6.1
83;Michael Schultz;3385;0.1739203482866287;0.0674938187003135;0.7585858702659607;2.34;6.6
84;Rob Hardy;4494;0.0648204162716865;0.9344005584716796;0.0;2.24;7.1
85;Laura Belsey;3620;0.1450478732585907;0.0275146383792161;0.8274375200271606;2.27;6.6
86;Gregory Smith;3228;0.6542402505874634;0.0272373110055923;0.3185224235057831;2.07;7.4
87;Kevin Tancharoen;3030;0.7399482131004333;0.0504425391554832;0.2096092253923416;2.16;7.1
88;Glen Winter;3017;0.3184815645217895;0.3493945002555847;0.3321239650249481;1.94;7.0
89;John Behring;5274;0.1205105260014534;0.0580020286142826;0.8214874267578125;2.19;5.5
90;James Bamford;3650;0.0358726270496845;0.9551448822021484;0.0;1.87;8.3
91;James Bamford;2970;0.0568981692194938;0.94266277551651;0.0;1.94;8.2
92;Gregory Smith;2736;0.683379590511322;0.3146462738513946;0.0;1.79;8.1
93;Dermott Downs;2608;0.249837577342987;0.0241296477615833;0.7260327339172363;1.87;8.1
94;Laura Belsey;2848;0.0615013092756271;0.012103603221476;0.926395058631897;1.61;8.6
95;John Behring;2589;0.7472897171974182;0.2446787357330322;0.0;1.95;8.3
96;Gordon Verheul;2536;0.253513365983963;0.0872664302587509;0.6592201590538025;1.86;8.3
97;James Bamford;4395;0.6397390961647034;0.3600431680679321;0.0;3.55;9.1
