episodios,nota_imdb,qtd_reviews
/series/Arrow-2193021/season-4/episode-22-Lost_in_the_Flood,7,3017
/series/Arrow-2193021/season-4/episode-23-Schism,5.5,5274
/series/Arrow-2193021/season-5/episode-1-Legacy,8.3,3650
/series/Arrow-2193021/season-5/episode-2-The_Recruits,8.2,2970
/series/Arrow-2193021/season-5/episode-3-A_Matter_of_Trust,8.1,2736
/series/Arrow-2193021/season-5/episode-4-Penance,8.1,2608
/series/Arrow-2193021/season-5/episode-5-Human_Target,8.6,2848
/series/Arrow-2193021/season-5/episode-6-So_It_Begins,8.3,2589
/series/Arrow-2193021/season-5/episode-7-Vigilante,8.3,2536
/series/Arrow-2193021/season-5/episode-8-Invasion,9.1,4395
/series/Arrow-2193021/season-5/episode-9-What_We_Leave_Behind,9.2,3656
/series/Arrow-2193021/season-5/episode-10-Who_Are_You,7.8,2679
/series/Arrow-2193021/season-5/episode-11-Second_Chances,8.2,2413
/series/Arrow-2193021/season-5/episode-12-Bratva,8.1,2320
/series/Arrow-2193021/season-5/episode-13-Spectre_of_the_Gun,7.4,2698
/series/Arrow-2193021/season-5/episode-14-The_Sin-Eater,7.8,2274
/series/Arrow-2193021/season-5/episode-15-Fighting_Fire_with_Fire,8.5,2486
/series/Arrow-2193021/season-5/episode-16-Checkmate,9,2932
/series/Arrow-2193021/season-5/episode-17-Kapiushon,9.2,3956
/series/Arrow-2193021/season-5/episode-18-Disbanded,8.5,2516
/series/Arrow-2193021/season-5/episode-19-Dangerous_Liaisons,7.9,2322
/series/Arrow-2193021/season-5/episode-20-Underneath,7.7,2961
/series/Arrow-2193021/season-5/episode-21-Honor_Thy_Fathers,8.2,2239
/series/Arrow-2193021/season-5/episode-22-Missing,9.1,2977
/series/Arrow-2193021/season-5/episode-23-Lian_Yu,9.7,7342
/series/Arrow-2193021/season-6/episode-1-Fallout,7.9,2700
/series/Arrow-2193021/season-6/episode-2-Tribute,8,2231
/series/Arrow-2193021/season-6/episode-3-Next_of_Kin,7.8,2119
/series/Arrow-2193021/season-6/episode-4-Reversal,7.4,2473
/series/Arrow-2193021/season-6/episode-5-Deathstroke_Returns,8.7,2502
/series/Arrow-2193021/season-6/episode-6-Promises_Kept,8.4,2150
/series/Arrow-2193021/season-6/episode-7-Thanksgiving,7.8,1943
/series/Arrow-2193021/season-6/episode-8-Crisis_on_Earth-X_Part_2,8.7,3268
/series/Arrow-2193021/season-6/episode-9-Irreconcilable_Differences,7.3,2215
/series/Arrow-2193021/season-6/episode-10-Divided,7.5,1891
/series/Arrow-2193021/season-6/episode-11-We_Fall,7.7,1833
/series/Arrow-2193021/season-6/episode-12-All_for_Nothing,7.9,1781
/series/Arrow-2193021/season-6/episode-13-The_Devils_Greatest_Trick,8.2,1920
/series/Arrow-2193021/season-6/episode-14-Collision_Course,7.3,1898
/series/Arrow-2193021/season-6/episode-15-Doppelgnger,8.1,1829
/series/Arrow-2193021/season-6/episode-16-The_Thanatos_Guild,8,1811
/series/Arrow-2193021/season-6/episode-17-Brothers_in_Arms,7.9,1882
/series/Arrow-2193021/season-6/episode-18-Fundamentals,8.7,2211
/series/Arrow-2193021/season-6/episode-19-The_Dragon,8,2041
/series/Arrow-2193021/season-6/episode-20-Shifting_Allegiances,8,1758
/series/Arrow-2193021/season-6/episode-21-Docket_No_11-19-41-73,8.9,2065
/series/Arrow-2193021/season-6/episode-22-The_Ties_That_Bind,8.5,1896
/series/Arrow-2193021/season-6/episode-23-Life_Sentence,8.8,2270
/series/Arrow-2193021/season-7/episode-1-Inmate_4587,9.1,3144
/series/Arrow-2193021/season-7/episode-2-The_Longbow_Hunters,8,2114
/series/Arrow-2193021/season-7/episode-3-Crossing_Lines,8.3,2038
/series/Arrow-2193021/season-7/episode-4-Level_Two,8.2,1940
/series/Arrow-2193021/season-7/episode-5-The_Demon,8.6,2039
/series/Arrow-2193021/season-7/episode-6-Episode_76,8.3,1887
/series/Arrow-2193021/season-7/episode-7-The_Slabside_Redemption,9.4,3125
/series/Arrow-2193021/season-7/episode-8-Episode_78,8.4,1912
/series/Arrow-2193021/season-7/episode-9-Elseworlds_Part_2,9,2692
/series/Arrow-2193021/season-7/episode-10-Episode_710,7.4,1696
/series/Arrow-2193021/season-7/episode-11-Past_Sins,7.8,1576
/series/Arrow-2193021/season-7/episode-15-Training_Day,7.6,1447
/series/Arrow-2193021/season-7/episode-16-Star_City_2040,7.7,1652
/series/Arrow-2193021/season-7/episode-17-Inheritance,8.1,1479
/series/Arrow-2193021/season-7/episode-18-Lost_Canary,7.4,1586
/series/Arrow-2193021/season-7/episode-19-Spartan,7.7,1370
/series/Arrow-2193021/season-7/episode-20-Confessions,8.5,1609
/series/Arrow-2193021/season-7/episode-21-Episode_721,8.2,1445
/series/Arrow-2193021/season-7/episode-22-Episode_722,8.7,2139
/series/Arrow-2193021/season-8/episode-1-Starling_City,9.1,2600
/series/Arrow-2193021/season-8/episode-2-Welcome_to_Hong_Kong,8.4,1929
/series/Arrow-2193021/season-8/episode-3-Leap_of_Faith,8.7,2024
/series/Arrow-2193021/season-8/episode-4-Present_Tense,8.8,1930
/series/Arrow-2193021/season-8/episode-5-Prochnost,8.6,1685
/series/Arrow-2193021/season-8/episode-6-Reset,9,1822
/series/Arrow-2193021/season-8/episode-7-Purgatory,8.9,1686
/series/Arrow-2193021/season-8/episode-8-Crisis_on_Infinite_Earths,8.7,2482
/series/Arrow-2193021/season-8/episode-9-Green_Arrow__the_Canaries,7.1,1868
/series/Arrow-2193021/season-8/episode-10-Fadeout,9.4,2874
